student_id,name,age,gender,study_hours,attendance_percentage,previous_score,assignment_score,midterm_score,absences,sleep_hours,internet_access,parental_education,family_income,extracurricular,study_environment,final_score,performance
STU00016,Brian Ramirez,19,Female,6.5,59.3,88.0,67.8,86.5,5,9.4,No,High School,High,No,Average,74.89,Pass
STU00017,Holly Wood,16,Female,2.9,55.5,44.8,59.9,87.3,26,9.2,Yes,Diploma,Middle,Yes,Poor,56.09,Pass
STU00018,Derek Zuniga,20,Female,3.6,61.1,37.8,53.6,96.0,0,5.9,Yes,Graduate,Middle,Yes,Poor,58.46,Pass
STU00019,Lisa Jackson,18,Male,4.4,85.2,53.6,98.0,97.4,2,5.5,No,High School,High,Yes,Average,65.34,Pass
STU00020,Carla Gray,22,Male,2.6,51.8,69.6,65.2,33.6,8,5.7,No,Diploma,High,Yes,Good,45.77,Fail
STU00021,Margaret Hawkins DDS,21,Female,7.3,62.0,39.4,64.3,99.0,14,5.5,No,High School,Low,Yes,Poor,73.46,Pass
STU00022,Patty Perez,20,Male,2.3,86.4,53.9,74.3,74.3,18,7.2,Yes,Diploma,Low,Yes,Poor,64.96,Pass
STU00023,Ethan Adams,18,Male,1.2,91.8,50.9,43.1,32.9,28,7.5,Yes,Graduate,Low,Yes,Good,36.13,Fail
STU00024,Tommy Walter,22,Male,5.3,58.7,74.9,57.1,95.6,17,4.8,Yes,Postgraduate,Low,No,Excellent,66.42,Pass
STU00025,Matthew Foster,18,Male,3.1,55.7,90.1,91.4,48.1,3,8.0,No,Graduate,Middle,No,Excellent,61.04,Pass
STU00026,Judy Baker,15,Male,4.5,62.1,36.1,92.8,93.0,1,7.8,No,Graduate,Low,Yes,Average,73.78,Pass
STU00027,Justin Baker,18,Female,3.0,67.5,77.2,92.8,92.1,4,8.7,No,Diploma,Middle,No,Average,68.2,Pass
STU00028,Stephanie Ross,16,Female,1.7,94.9,69.4,30.6,37.1,25,8.0,Yes,High School,High,Yes,Poor,49.1,Fail
STU00029,Zachary Hicks,18,Male,0.5,58.0,65.7,78.4,75.6,13,5.3,No,Postgraduate,Low,No,Poor,49.53,Fail
STU00030,Anthony Rodriguez,17,Female,2.9,87.3,72.2,89.4,76.0,0,7.4,No,Graduate,Middle,No,Excellent,73.77,Pass
STU00031,Rebecca Henderson,22,Male,1.2,68.4,47.2,47.1,98.1,6,6.4,No,Diploma,Low,Yes,Good,58.58,Pass
STU00032,James Ferrell,15,Male,6.5,75.1,67.5,64.5,43.7,18,8.3,No,Diploma,Low,Yes,Average,64.42,Pass
STU00033,Tricia Valencia,16,Male,2.6,51.2,72.0,42.4,95.8,21,9.7,Yes,Postgraduate,Low,Yes,Poor,57.86,Pass
STU00034,Nathan Maldonado,16,Female,0.6,96.4,57.8,97.7,97.5,21,9.1,No,Graduate,Low,No,Average,74.13,Pass
STU00035,Debra Davidson,19,Female,2.7,69.3,85.3,52.2,41.9,4,7.3,No,Postgraduate,Middle,Yes,Poor,54.14,Pass
STU00036,Jeffrey Chavez,22,Male,4.8,54.9,70.0,99.3,39.8,2,7.1,Yes,Graduate,Low,No,Poor,60.6,Pass
STU00037,Sherri Baker,18,Female,7.1,87.0,75.3,79.2,55.2,9,5.8,Yes,Postgraduate,High,No,Poor,72.26,Pass
STU00038,Cassandra Gaines,19,Male,7.0,95.7,63.2,65.1,85.9,30,7.9,Yes,Graduate,Low,Yes,Average,76.5,Pass
STU00039,Elizabeth Fowler,19,Female,5.8,89.8,87.9,53.7,56.3,19,4.6,Yes,Graduate,Low,No,Excellent,62.12,Pass
STU00040,Brittany Farmer,19,Male,4.0,77.1,48.6,71.4,32.1,2,4.2,No,Graduate,Low,Yes,Good,51.25,Pass
STU00041,Paula Moreno,17,Female,6.7,68.0,38.3,66.6,83.9,5,5.3,No,Postgraduate,High,Yes,Poor,61.37,Pass
STU00042,Fred Smith,16,Male,0.9,76.6,65.1,74.6,80.8,17,9.9,Yes,Graduate,High,Yes,Excellent,62.49,Pass
STU00043,Sherry Decker,17,Male,4.4,66.1,81.7,49.0,60.7,9,4.5,No,High School,Middle,Yes,Average,60.12,Pass
STU00044,Anthony Humphrey,16,Female,3.6,58.7,40.2,47.5,68.4,24,8.3,No,Diploma,Low,Yes,Average,54.82,Pass
STU00045,Angelica Tucker,21,Male,5.5,64.0,92.1,81.7,68.8,5,7.7,No,Postgraduate,High,Yes,Good,62.14,Pass
STU00046,Philip Cannon,17,Male,3.2,87.9,30.9,38.1,33.2,12,4.2,Yes,Postgraduate,Low,Yes,Excellent,40.71,Fail
STU00047,John Pierce,20,Female,6.9,85.2,60.8,36.8,64.4,26,6.8,Yes,Diploma,Low,Yes,Excellent,60.25,Pass
STU00048,Shane Henderson,20,Female,3.5,80.8,71.3,33.2,56.2,27,7.8,Yes,Graduate,Middle,No,Good,47.41,Fail
STU00049,Joshua Blair,15,Male,4.3,92.8,72.8,41.4,34.9,28,7.9,No,Diploma,High,No,Poor,53.98,Pass
STU00050,Eric Carney,16,Female,7.6,78.8,55.2,75.0,62.1,11,7.3,No,Postgraduate,High,Yes,Excellent,65.69,Pass
STU00051,Jessica Holmes,18,Female,7.6,69.3,92.5,93.4,43.7,1,4.4,No,High School,High,Yes,Good,70.42,Pass
STU00052,Danny Morgan,21,Male,1.0,65.9,84.9,31.6,87.0,30,5.7,No,Graduate,High,Yes,Good,51.02,Pass
STU00053,Crystal Robinson,19,Female,1.4,84.8,70.9,91.4,81.5,10,8.8,No,Graduate,High,Yes,Average,63.56,Pass
STU00054,Mark Perez,21,Female,6.1,90.3,94.4,58.9,56.0,21,8.7,Yes,Graduate,Middle,Yes,Good,65.94,Pass
STU00055,Shannon Jones,19,Male,3.1,96.5,85.8,60.0,82.6,13,8.5,No,Postgraduate,Middle,No,Average,77.11,Pass
STU00056,Michael Lewis,22,Male,2.9,94.8,55.3,30.8,93.4,21,4.5,Yes,Graduate,High,No,Poor,60.92,Pass
STU00057,Timothy Duncan,18,Female,2.9,97.5,91.8,70.1,74.2,7,6.7,Yes,Diploma,Low,Yes,Average,65.39,Pass
STU00058,Richard Aguirre,22,Male,5.5,87.6,81.5,85.3,36.4,14,7.0,No,Diploma,High,No,Excellent,57.98,Pass
STU00059,Brent Jordan,21,Male,0.9,77.5,58.7,92.1,54.6,4,4.7,Yes,High School,Middle,Yes,Average,57.47,Pass
STU00060,John Daniel,22,Male,5.1,55.1,35.5,79.1,35.1,17,8.9,Yes,High School,Middle,Yes,Excellent,46.48,Fail
STU00061,Victoria Garcia,20,Female,5.8,54.1,35.5,99.1,56.2,19,6.2,No,Postgraduate,Low,No,Excellent,53.54,Pass
STU00062,Gerald Hensley,19,Male,6.3,77.9,57.6,93.4,37.8,26,7.0,No,Postgraduate,High,Yes,Good,59.33,Pass
STU00063,Connor West,22,Male,0.6,73.4,33.7,38.3,38.2,22,7.9,No,Diploma,Middle,No,Good,40.5,Fail
STU00064,Donald Wright,16,Male,7.7,68.7,48.6,90.8,45.7,4,9.8,Yes,Postgraduate,High,Yes,Average,72.68,Pass
STU00065,Jessica Callahan,16,Female,0.6,98.5,32.8,92.4,66.9,13,10.0,No,Postgraduate,Middle,Yes,Average,60.52,Pass
STU00066,Amber Kidd,21,Female,7.8,76.2,70.9,78.7,61.8,28,7.8,Yes,Postgraduate,Middle,Yes,Good,64.99,Pass
STU00067,Tracy House,19,Female,4.9,95.1,33.0,49.7,96.5,27,9.3,No,Diploma,Middle,Yes,Good,77.64,Pass
STU00068,Carol Tucker,21,Female,2.6,59.4,60.1,54.7,70.9,0,4.5,No,Graduate,High,No,Average,49.91,Fail
STU00069,James Brown,22,Male,7.8,99.3,75.4,67.5,51.7,19,8.9,Yes,Postgraduate,High,Yes,Poor,66.9,Pass
STU00070,William Baker,21,Male,7.3,91.1,91.7,80.8,72.9,27,6.5,No,Diploma,Low,No,Excellent,79.02,Pass
STU00071,Jordan Henderson,20,Male,7.5,93.3,32.9,31.8,56.4,14,8.9,No,Graduate,Middle,No,Excellent,51.01,Pass
STU00072,Whitney Peters,19,Male,7.8,92.1,84.5,62.8,59.0,15,5.6,Yes,High School,Middle,Yes,Poor,77.96,Pass
STU00073,Brittney Phillips,15,Male,0.9,93.2,82.8,100.0,99.8,30,7.3,Yes,Diploma,Low,Yes,Average,71.1,Pass
STU00074,Lauren Daniels,17,Female,3.9,56.5,92.0,72.4,46.0,21,8.0,Yes,Diploma,Middle,No,Good,59.79,Pass
STU00075,Amy Silva,17,Male,5.1,67.9,37.4,77.0,66.4,24,8.6,Yes,Graduate,Low,Yes,Good,64.7,Pass
STU00076,Sarah Moore,21,Female,4.6,78.0,87.0,58.2,39.4,30,4.2,Yes,High School,High,Yes,Poor,55.29,Pass
STU00077,Angela Lopez,19,Male,6.2,81.0,75.8,44.9,39.5,25,4.1,Yes,Graduate,High,No,Good,60.65,Pass
STU00078,Megan Young,16,Female,3.4,71.9,88.8,54.4,66.0,0,8.7,No,Postgraduate,Low,No,Good,54.29,Pass
STU00079,Steve Sanchez,22,Male,3.5,81.1,86.1,96.5,40.3,13,9.6,Yes,Graduate,High,No,Excellent,55.23,Pass
STU00080,Lisa Barnes,21,Female,3.9,99.0,62.0,53.0,74.3,10,5.4,Yes,High School,Middle,No,Average,64.36,Pass
STU00081,Kelly Donovan,22,Female,1.1,56.4,38.3,40.6,39.7,10,7.8,Yes,Postgraduate,Middle,Yes,Excellent,35.43,Fail
STU00082,Mike Allen,18,Female,7.2,73.7,73.4,42.1,43.5,25,4.2,No,Graduate,Middle,No,Poor,50.74,Pass
STU00083,Michael Evans,18,Male,1.8,63.9,41.5,36.2,38.4,7,6.8,No,Postgraduate,High,Yes,Excellent,37.34,Fail
STU00084,Paul Jones,22,Female,4.3,84.5,32.6,86.0,74.0,25,4.5,Yes,High School,Middle,Yes,Excellent,55.01,Pass
STU00085,Zachary Ferrell,18,Female,7.1,96.0,34.0,49.4,86.4,21,8.5,No,Postgraduate,High,No,Excellent,66.12,Pass
STU00086,Daniel Baker,20,Female,3.3,74.2,70.2,55.8,62.4,22,8.5,No,Graduate,Middle,No,Average,54.7,Pass
STU00087,Shirley Suarez,16,Male,0.8,62.6,76.4,92.7,65.8,10,7.2,Yes,Diploma,Low,Yes,Excellent,57.8,Pass
STU00088,Christopher Bass,19,Female,4.5,62.1,47.5,56.4,31.4,3,5.9,Yes,Graduate,Low,No,Average,42.16,Fail
STU00089,Lisa Archer,19,Male,2.1,66.4,37.8,92.3,71.6,22,8.1,Yes,Graduate,Low,Yes,Good,56.44,Pass
STU00090,Aimee Montoya,17,Female,1.2,76.9,68.1,82.2,60.2,3,4.8,Yes,Graduate,Middle,No,Excellent,64.72,Pass
STU00091,Matthew Mcmillan,20,Male,2.6,68.2,72.0,70.0,54.9,30,9.9,Yes,Graduate,Middle,Yes,Poor,48.5,Fail
STU00092,Brian Rodriguez,21,Female,1.3,57.6,46.0,41.2,43.1,2,5.7,Yes,Diploma,Low,No,Poor,43.28,Fail
STU00093,Denise Jacobs,18,Male,1.8,94.8,35.2,66.7,58.7,17,9.9,No,Diploma,High,No,Excellent,54.35,Pass
STU00094,Christina Walters,22,Female,7.8,93.3,83.1,48.1,42.0,27,8.0,No,Graduate,High,Yes,Poor,60.23,Pass
STU00095,John Whitehead,18,Male,7.5,77.8,67.2,49.6,83.9,8,5.1,Yes,Diploma,Low,Yes,Poor,66.05,Pass
STU00096,Anna Henderson,17,Male,4.3,62.1,37.5,72.7,50.2,13,7.5,No,Postgraduate,Middle,Yes,Average,42.99,Fail
STU00097,Aaron Wise,19,Female,1.7,74.1,64.6,33.6,53.6,22,4.8,No,High School,High,Yes,Good,51.37,Pass
STU00098,Deborah Figueroa,18,Female,2.4,84.1,79.4,71.7,63.0,3,6.5,Yes,Diploma,Middle,Yes,Poor,59.8,Pass
STU00099,Jessica Smith,15,Male,3.1,96.5,84.0,97.6,38.7,25,8.4,No,Graduate,Middle,Yes,Excellent,64.16,Pass
STU00100,Stephen Mckee,19,Female,4.8,92.1,39.1,85.7,44.1,30,5.0,No,Postgraduate,Middle,Yes,Poor,55.89,Pass
STU00101,Sandra Aguilar,21,Female,1.7,90.7,73.2,66.6,55.1,19,9.3,No,High School,Low,Yes,Poor,64.83,Pass
STU00102,Cameron Parker,19,Male,3.8,68.8,60.1,51.1,82.3,24,7.0,Yes,Postgraduate,High,No,Good,57.2,Pass
STU00103,Rebecca Valencia,17,Female,2.2,95.0,55.0,68.0,93.5,20,7.7,No,High School,Middle,No,Excellent,59.41,Pass
STU00104,Christine Wright,20,Female,1.5,89.7,70.3,67.3,92.6,21,8.7,Yes,Diploma,Middle,No,Excellent,72.51,Pass
STU00105,Richard Henson,19,Female,1.6,65.6,46.2,82.1,32.3,26,7.4,Yes,Postgraduate,Low,No,Good,46.93,Fail
STU00106,Marc Moore,20,Male,3.1,91.1,37.2,89.3,38.9,24,6.4,No,High School,High,No,Excellent,55.2,Pass
STU00107,Sharon Cherry,15,Male,6.5,57.5,44.9,80.6,80.4,16,7.8,No,Postgraduate,High,No,Poor,66.98,Pass
STU00108,Sierra Johnson,18,Female,2.4,67.3,41.8,93.6,70.8,17,6.4,Yes,Graduate,Middle,No,Poor,66.85,Pass
STU00109,Evelyn Galvan,15,Male,4.0,97.4,40.0,71.0,65.4,22,7.7,Yes,Graduate,High,Yes,Excellent,62.18,Pass
STU00110,Sharon Cochran,16,Male,5.7,96.1,76.0,40.7,70.3,26,7.6,Yes,Postgraduate,Low,Yes,Excellent,69.82,Pass
STU00111,Richard Rodriguez,19,Female,3.7,86.8,90.7,94.8,61.6,13,4.7,No,Postgraduate,Low,No,Average,68.85,Pass
STU00112,Shannon Walker,21,Male,4.9,70.0,33.6,53.5,86.2,29,4.0,Yes,High School,Middle,No,Good,62.37,Pass
STU00113,Julia Torres,19,Male,3.0,69.9,64.9,94.4,54.2,9,6.1,No,Postgraduate,Low,No,Excellent,57.52,Pass
STU00114,Crystal Johnson,20,Female,2.2,72.6,39.2,42.3,64.9,17,6.5,No,Postgraduate,Middle,Yes,Average,56.99,Pass
STU00115,Garrett Lin,21,Male,7.4,68.1,67.7,74.3,30.9,27,8.0,No,High School,Middle,No,Excellent,56.48,Pass
STU00116,Diana May,21,Male,1.1,99.8,62.6,71.7,34.7,15,8.5,Yes,Diploma,High,No,Poor,48.06,Fail
STU00117,William Herrera,22,Male,2.1,94.9,43.3,43.3,32.6,16,6.8,No,High School,High,Yes,Excellent,42.29,Fail
STU00118,Ashley Waller,17,Male,6.3,72.7,64.1,60.9,58.1,15,7.4,No,Graduate,High,No,Poor,62.36,Pass
STU00119,Victor Baker,20,Female,1.7,59.1,86.0,96.2,56.1,30,5.6,No,Postgraduate,High,Yes,Poor,50.61,Pass
STU00120,Jeffrey Chandler,18,Female,0.7,57.8,76.5,76.1,31.9,7,5.3,Yes,Postgraduate,Low,Yes,Excellent,54.45,Pass
STU00121,Larry Dixon,17,Female,2.2,83.6,31.3,37.3,86.0,28,5.1,Yes,High School,Middle,Yes,Good,46.27,Fail
STU00122,Kenneth Scott,20,Female,1.2,62.2,76.9,89.9,88.1,13,6.4,Yes,Diploma,High,No,Average,67.2,Pass
STU00123,April Frost,17,Male,5.5,60.2,49.1,92.7,30.9,2,4.5,No,Diploma,Middle,Yes,Average,55.03,Pass
STU00124,Michelle Harmon,22,Female,3.7,94.6,83.1,53.9,48.2,14,6.3,No,High School,Middle,No,Average,53.95,Pass
STU00125,Helen Jones,16,Female,4.9,63.4,70.6,58.7,68.6,30,6.6,No,Graduate,High,No,Good,59.77,Pass
STU00126,Erin Edwards,22,Female,6.2,57.0,86.5,64.1,92.6,6,8.8,No,Postgraduate,Low,Yes,Excellent,72.08,Pass
STU00127,Michelle Evans,20,Female,3.7,51.1,47.5,67.9,74.3,22,5.5,No,High School,High,No,Good,54.45,Pass
STU00128,Jason Powell,15,Male,7.9,76.3,41.2,49.1,31.3,29,9.5,No,Graduate,Low,No,Average,52.37,Pass
STU00129,Cameron Fisher,18,Female,1.4,78.8,47.8,68.8,75.6,21,9.0,Yes,High School,High,Yes,Good,58.46,Pass
STU00130,Megan Orr,22,Male,5.0,83.3,41.4,94.0,59.3,18,6.3,No,Diploma,Low,No,Good,67.43,Pass
STU00131,Elizabeth Kelley,21,Male,4.4,52.3,40.8,81.7,35.8,6,7.6,Yes,Graduate,High,No,Average,46.18,Fail
STU00132,Dustin Jordan,19,Female,2.7,67.8,76.7,50.8,69.6,30,6.9,No,Graduate,Low,No,Poor,48.56,Fail
STU00133,Mary Marshall,17,Male,5.5,96.8,77.6,45.0,32.2,27,5.6,No,Graduate,Low,No,Poor,53.33,Pass
STU00134,Daniel Kennedy,19,Male,4.2,79.8,51.7,84.0,37.5,14,4.5,No,Graduate,High,No,Good,55.03,Pass
STU00135,Rebecca Jackson,16,Male,6.0,74.8,74.7,60.4,47.2,15,8.9,Yes,Graduate,High,Yes,Poor,64.39,Pass
STU00136,Jose Schultz,22,Female,2.5,79.5,53.5,36.4,94.2,20,4.8,No,High School,Low,Yes,Poor,62.89,Pass
STU00137,Robert Potter,19,Female,7.6,72.3,42.0,67.9,91.1,3,8.4,Yes,Diploma,High,Yes,Excellent,74.67,Pass
STU00138,Courtney Gonzalez,22,Female,5.7,92.5,46.2,64.3,45.5,21,9.9,No,Diploma,Middle,Yes,Excellent,65.39,Pass
STU00139,David Alvarez,21,Female,7.6,52.0,75.9,94.8,42.6,1,7.4,No,Diploma,Middle,No,Average,59.1,Pass
STU00140,Angel Perry,20,Male,7.4,98.6,91.4,63.2,90.3,21,9.1,No,Graduate,Low,No,Good,87.08,Pass
STU00141,Cheyenne Horton,18,Male,2.9,91.4,32.4,71.7,46.1,30,4.7,No,High School,High,Yes,Poor,51.32,Pass
STU00142,David Douglas Jr.,15,Female,3.0,86.2,34.2,52.1,67.8,7,8.7,Yes,Diploma,Low,Yes,Average,54.02,Pass
STU00143,Patricia Rodriguez,18,Female,2.9,81.3,87.6,73.1,46.3,24,4.1,Yes,High School,Middle,Yes,Average,57.44,Pass
STU00144,Christopher Rubio,19,Male,7.5,89.9,94.9,54.5,83.7,3,6.4,Yes,Diploma,Low,No,Average,83.6,Pass
STU00145,Amber Wright,20,Male,4.1,81.4,86.8,98.9,83.8,5,6.5,No,High School,Low,No,Poor,83.42,Pass
STU00146,Joyce Solis,16,Female,2.3,55.5,53.1,50.1,50.7,14,5.4,No,High School,Middle,Yes,Poor,42.25,Fail
STU00147,Victoria Larson,19,Female,0.8,50.9,94.2,59.9,56.9,20,8.1,Yes,High School,Middle,No,Excellent,55.99,Pass
STU00148,Stephanie Salazar,16,Female,7.6,73.4,69.9,41.7,99.4,22,5.4,No,High School,Low,No,Average,69.95,Pass
STU00149,Kathy Rivas,16,Male,7.6,82.5,69.5,65.9,46.1,8,5.1,No,Postgraduate,High,No,Excellent,61.22,Pass
STU00150,Stephanie Manning,21,Male,6.3,67.5,33.8,97.8,91.9,25,9.6,Yes,Diploma,Middle,No,Average,67.55,Pass
STU00151,David Wright,21,Female,8.0,58.7,55.8,83.1,78.7,26,4.9,No,Postgraduate,Middle,Yes,Good,64.34,Pass
STU00152,Pamela Boyd,21,Female,2.2,76.8,68.5,70.6,36.4,21,9.3,No,Graduate,Low,No,Poor,55.16,Pass
STU00153,Denise Jones,16,Male,2.5,56.5,87.8,96.9,90.3,2,8.9,No,High School,High,No,Average,73.81,Pass
STU00154,Devon Flores,15,Female,1.2,70.4,54.2,48.2,80.6,21,7.0,Yes,Postgraduate,Middle,No,Poor,63.29,Pass
STU00155,Brenda Hall,19,Female,1.1,61.0,74.4,35.3,89.6,11,7.0,Yes,Diploma,Low,No,Average,68.15,Pass
STU00156,Michelle Brown,16,Female,6.7,67.4,74.1,69.6,48.7,27,9.3,No,High School,Middle,Yes,Excellent,59.07,Pass
STU00157,Joshua Perry,15,Female,6.5,82.9,85.3,90.7,79.6,0,9.0,Yes,Graduate,High,No,Good,84.9,Pass
STU00158,Jason Stein,20,Male,5.1,87.6,40.3,91.7,91.0,5,4.2,Yes,Postgraduate,Low,Yes,Poor,77.08,Pass
STU00159,Melissa Gates,16,Male,6.7,56.4,51.8,82.0,41.3,12,8.9,No,Postgraduate,Middle,Yes,Good,57.63,Pass
STU00160,Jamie Smith,19,Female,0.5,64.4,70.1,98.7,74.2,24,5.6,Yes,High School,Low,Yes,Poor,64.48,Pass
STU00161,Paul Castaneda,16,Female,5.3,77.0,80.7,37.5,83.3,14,7.2,No,Postgraduate,High,No,Excellent,65.62,Pass
STU00162,Jennifer Adkins,19,Male,5.2,96.6,36.7,95.6,78.2,24,4.4,Yes,Graduate,Middle,Yes,Good,69.66,Pass
STU00163,Lindsey Walker,22,Female,2.8,85.4,34.4,70.8,54.2,1,7.7,Yes,Postgraduate,High,Yes,Poor,52.62,Pass
STU00164,Jeffrey Johnson,18,Female,6.2,51.2,31.4,52.7,64.2,30,8.6,Yes,Diploma,Middle,No,Good,53.72,Pass
STU00165,Michael Powell,16,Male,5.6,72.3,47.8,99.8,59.8,15,6.7,No,Diploma,Low,No,Average,66.1,Pass
STU00166,John Anderson,20,Male,5.7,61.0,35.4,77.6,75.8,12,5.6,Yes,Postgraduate,Low,No,Poor,57.88,Pass
STU00167,Alyssa Long,20,Female,7.6,57.6,58.1,96.1,59.4,18,7.8,No,Postgraduate,Middle,Yes,Excellent,58.22,Pass
STU00168,Alyssa Day,15,Female,7.9,70.5,88.1,46.1,44.9,5,4.2,No,Graduate,Low,No,Poor,58.41,Pass
STU00169,Joel Williams,18,Female,5.4,68.4,86.2,63.1,97.8,18,5.1,No,High School,Middle,No,Good,73.11,Pass
STU00170,Daniel Murphy,18,Female,6.3,92.2,79.5,73.8,39.2,24,4.2,Yes,High School,High,Yes,Average,65.03,Pass
STU00171,Jamie Walton,20,Female,7.4,80.8,81.8,63.7,38.2,23,4.8,Yes,Diploma,Low,Yes,Good,58.13,Pass
STU00172,Darlene Miller,18,Male,2.0,74.6,34.2,70.7,48.8,19,8.8,Yes,High School,Low,No,Excellent,58.11,Pass
STU00173,Joshua Cooke,22,Female,2.8,72.8,30.8,35.1,57.5,27,6.9,No,Diploma,Middle,Yes,Excellent,36.9,Fail
STU00174,Matthew Harrington,22,Female,5.7,93.0,80.7,32.8,63.6,25,4.6,No,High School,Middle,Yes,Good,65.81,Pass
STU00175,Nicole Herring,22,Female,2.3,99.3,39.3,64.9,73.3,1,8.2,Yes,Graduate,Middle,Yes,Poor,61.02,Pass
STU00176,Alex Hernandez,21,Female,2.9,75.9,35.7,54.5,32.3,18,4.5,Yes,Postgraduate,High,Yes,Good,42.81,Fail
STU00177,Michael Elliott,22,Male,3.5,56.6,66.9,78.3,86.0,30,5.2,Yes,Postgraduate,Low,No,Poor,67.76,Pass
STU00178,Michael Wang,17,Male,0.7,96.8,33.4,67.9,79.6,7,9.2,No,Postgraduate,High,Yes,Good,64.29,Pass
STU00179,Lawrence Adkins,20,Female,5.9,90.1,52.1,87.0,35.6,12,9.4,No,Graduate,High,Yes,Good,68.93,Pass
STU00180,Robert Oconnell,16,Female,3.9,82.2,64.2,81.2,35.7,3,4.4,No,Graduate,Middle,Yes,Good,57.38,Pass
STU00181,Alexander Collins,16,Male,2.4,58.0,86.7,45.3,98.3,29,6.0,No,Graduate,High,No,Average,63.19,Pass
STU00182,Tina Sanders,16,Female,5.4,74.9,66.1,80.3,46.0,17,10.0,No,Graduate,Low,Yes,Excellent,59.0,Pass
STU00183,Angela Vaughn,20,Male,7.8,82.5,43.0,77.6,35.1,11,4.2,No,Diploma,Low,No,Excellent,57.7,Pass
STU00184,Ashley Barton,18,Male,7.0,86.4,78.3,59.8,54.2,4,6.2,Yes,High School,Middle,Yes,Poor,59.03,Pass
STU00185,Lindsay Martinez,20,Male,7.9,52.0,86.4,70.5,60.7,19,8.4,No,Diploma,Low,Yes,Average,71.62,Pass
STU00186,Dr. Hannah Patterson,22,Male,7.3,71.1,48.0,71.5,93.9,13,5.3,No,Diploma,Middle,No,Excellent,70.46,Pass
STU00187,Jonathan Peterson,18,Male,5.2,81.6,77.7,39.2,80.1,9,9.5,No,Diploma,Middle,No,Excellent,64.73,Pass
STU00188,Samantha Garcia,19,Female,7.8,59.0,85.5,64.5,47.3,16,9.2,No,Diploma,Low,Yes,Good,60.39,Pass
STU00189,Madison Poole,15,Female,3.8,75.7,53.4,71.5,41.4,27,6.3,No,High School,High,Yes,Good,45.33,Fail
STU00190,Jessica Gross,16,Male,6.3,56.5,93.0,61.8,46.5,8,4.4,No,Diploma,Middle,Yes,Average,65.16,Pass
STU00191,Debra Morton,22,Female,1.8,76.0,51.9,88.0,60.2,29,5.5,Yes,Postgraduate,Low,No,Good,61.96,Pass
STU00192,Karen Graham,18,Female,1.8,58.4,32.4,81.5,76.5,2,6.8,No,Diploma,Low,No,Poor,58.72,Pass
STU00193,Debra Christian,20,Male,6.8,90.3,68.0,90.8,44.4,4,4.7,Yes,Graduate,Middle,Yes,Excellent,67.32,Pass
STU00194,Angelica Keith,22,Male,4.5,96.8,32.6,38.5,61.7,28,9.6,Yes,High School,Middle,Yes,Average,55.7,Pass
STU00195,John Bishop,21,Male,2.9,75.4,32.7,40.4,99.1,24,9.8,No,Diploma,Middle,Yes,Poor,63.34,Pass
STU00196,Allen Rosales,18,Female,3.9,75.8,61.8,76.7,39.8,20,4.2,No,High School,Low,No,Poor,55.03,Pass
STU00197,Daniel Salinas,18,Male,2.8,85.2,43.1,77.1,97.9,9,4.6,No,High School,High,No,Average,63.08,Pass
